id,imdb_id,title,original_title,original_language,overview,tagline,budget,revenue,runtime,release_date,vote_average,vote_count,popularity,status,adult,homepage,poster_path
76341,tt1392190,Mad Max: Fury Road,Mad Max: Fury Road,en,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. There's Max, a man of action and a man of few words, who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa, a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland.",What a Lovely Day.,150000000,378858340,120,2015-05-13,7.3,9629,29.36178,Released,False,http://www.madmaxmovie.com/,/kqjL17yufvn9OVLyXYpvtyrFfak.jpg
49026,tt1345836,The Dark Knight Rises,The Dark Knight Rises,en,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",The Legend Ends,250000000,1084939099,165,2012-07-16,7.6,9263,20.58258,Released,False,http://www.thedarkknightrises.com/,/dEYnvnUfXrqvqeRSqvIEtmzhoA8.jpg
603,tt0133093,The Matrix,The Matrix,en,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",Welcome to the Real World.,63000000,463517383,136,1999-03-30,7.9,9079,33.366332,Released,False,http://www.warnerbros.com/matrix,/hEpWvX6Bp79eLxY1kX5ZZJcme5U.jpg
1726,tt0371746,Iron Man,Iron Man,en,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",Heroes aren't born. They're built.,140000000,585174222,126,2008-04-30,7.4,8951,22.073099,Released,False,http://www.ironmanmovie.com/,/848chlIWVT41VtAAgyh9bWymAYb.jpg
68721,tt1300854,Iron Man 3,Iron Man 3,en,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",Unleash the power behind the armor.,200000000,1215439994,130,2013-04-18,6.8,8951,23.721243,Released,False,http://marvel.com/ironman3,/1Ilv6ryHUv6rt9zIsbSEJUmmbEi.jpg
120,tt0120737,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,en,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",One ring to rule them all,93000000,871368364,178,2001-12-18,8.0,8892,32.070725,Released,False,http://www.lordoftherings.net/,/bxVxZb5O9OxCO0oRUNdCnpy9NST.jpg
135397,tt0369610,Jurassic World,Jurassic World,en,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",The park is open.,150000000,1513528810,124,2015-06-09,6.5,8842,32.790475,Released,False,http://www.jurassicworld.com/,/jjBgi2r5cRt36xF6iNUEhzscEcb.jpg
680,tt0110912,Pulp Fiction,Pulp Fiction,en,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",Just because you are a character doesn't mean you have character.,8000000,213928762,154,1994-09-10,8.3,8670,140.950236,Released,False,,/dM2w364MScsjFf8pfMbaWUcWrR.jpg
49051,tt0903624,The Hobbit: An Unexpected Journey,The Hobbit: An Unexpected Journey,en,"Bilbo Baggins, a hobbit enjoying his quiet life, is swept into an epic quest by Gandalf the Grey and thirteen dwarves who seek to reclaim their mountain home from Smaug, the dragon.",From the smallest beginnings come the greatest legends.,250000000,1021103568,169,2012-11-26,7.0,8427,23.253089,Released,False,http://www.thehobbit.com/,/ysX7vDmSh5O19vFjAi56WL7l4nk.jpg
278,tt0111161,The Shawshank Redemption,The Shawshank Redemption,en,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",Fear can hold you prisoner. Hope can set you free.,25000000,28341469,142,1994-09-23,8.5,8358,51.645403,Released,False,,/9O7gLzmreU0nGkIB6K3BsJbzvNv.jpg
122,tt0167260,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,en,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam bring the ring closer to the heart of Mordor, the dark lord's realm.",The eye of the enemy is moving.,94000000,1118888979,201,2003-12-01,8.1,8226,29.324358,Released,False,http://www.lordoftherings.net,/uexxR7Kw1qYbZk0RYaF9Rx5ykbj.jpg
13,tt0109830,Forrest Gump,Forrest Gump,en,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.","The world will never be the same, once you've seen it through the eyes of Forrest Gump.",55000000,677945399,142,1994-07-06,8.2,8147,48.307194,Released,False,,/yE5d3BUhE8hCnkMUJOo1QDoOGNz.jpg
140607,tt2488496,Star Wars: The Force Awakens,Star Wars: The Force Awakens,en,"Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.",Every generation has a story.,245000000,2068223624,136,2015-12-15,7.5,7993,31.626013,Released,False,http://www.starwars.com/films/star-wars-episode-vii,/weUSwMdQIa3NaXVzwUoIIcAi85d.jpg
597,tt0120338,Titanic,Titanic,en,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",Nothing on Earth could come between them.,200000000,1845034188,194,1997-11-18,7.5,7770,26.88907,Released,False,http://www.titanicmovie.com,/kHXEpyfl6zqn8a6YuozZUujufXf.jpg
37724,tt1074638,Skyfall,Skyfall,en,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",Think on your sins.,200000000,1108561013,143,2012-10-25,6.9,7718,20.309585,Released,False,http://www.skyfall-movie.com,/9qUcmHiPpfTJTacyZyxfGTnSz0V.jpg
297761,tt1386697,Suicide Squad,Suicide Squad,en,"From DC Comics comes the Suicide Squad, an antihero team of incarcerated supervillains who act as deniable assets for the United States government, undertaking high-risk black ops missions in exchange for commuted prison sentences.",Worst Heroes Ever,175000000,745600054,123,2016-08-02,5.9,7717,42.965027,Released,False,http://www.suicidesquad.com/,/e1mjopzAS2KNsvpbpahQ1a6SkSn.jpg
121,tt0167261,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,en,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",A New Power Is Rising.,79000000,926287400,179,2002-12-18,8.0,7641,29.423537,Released,False,http://www.lordoftherings.net/,/wf3v0Pn09jnT5HSaYal7Ami3bdA.jpg
272,tt0372784,Batman Begins,Batman Begins,en,"Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman.",Evil fears the knight.,150000000,374218673,140,2005-06-10,7.5,7511,28.505341,Released,False,http://www2.warnerbros.com/batmanbegins/index.html,/dr6x4GyyegBWtinPBzipY02J2lV.jpg
271110,tt3498820,Captain America: Civil War,Captain America: Civil War,en,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",Divided We Fall,250000000,1153304495,147,2016-04-27,7.1,7462,145.882135,Released,False,http://marvel.com/captainamericapremiere,/kSBXou5Ac7vEqKd97wotJumyJvU.jpg
286217,tt3659388,The Martian,The Martian,en,"During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive.",Bring Him Home,108000000,630161890,141,2015-09-30,7.6,7442,25.62993,Released,False,http://www.foxmovies.com/movies/the-martian,/5aGhaIHYuQbqlHWvWYqMCnj40y2.jpg
22,tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl,en,"Jack Sparrow, a freewheeling 17th-century pirate who roams the Caribbean Sea, butts heads with a rival pirate bent on pillaging the village of Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her. But their seafaring mission is hardly simple.",Prepare to be blown out of the water.,140000000,655011224,143,2003-07-09,7.5,7191,47.326665,Released,False,http://disney.go.com/disneyvideos/liveaction/pirates/main_site/main.html,/tkt9xR1kNX5R9rCebASKck44si2.jpg
209112,tt2975590,Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice,en,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",Justice or revenge,250000000,873260194,151,2016-03-23,5.7,7189,31.435879,Released,False,http://www.batmanvsupermandawnofjustice.com/,/cGOPbv9wA5gEejkUN892JrveARt.jpg
671,tt0241527,Harry Potter and the Philosopher's Stone,Harry Potter and the Philosopher's Stone,en,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard -- with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths -- and about the villain who's to blame.",Let the Magic Begin.,125000000,976475550,152,2001-11-16,7.5,7188,38.187238,Released,False,http://harrypotter.warnerbros.com/harrypotterandthedeathlyhallows/mainsite/index.html,/dCtFvscYcXQKTNvyyaQr2g2UacJ.jpg
1771,tt0458339,Captain America: The First Avenger,Captain America: The First Avenger,en,"Predominantly set during World War II, Steve Rogers is a sickly man from Brooklyn who's transformed into super-soldier Captain America to aid in the war effort. Rogers must stop the Red Skull – Adolf Hitler's ruthless head of weaponry, and the leader of an organization that intends to use a mysterious device of untold powers for world domination.",When patriots become heroes,140000000,370569774,124,2011-07-22,6.6,7174,19.323582,Released,False,http://captainamerica.marvel.com/,/vSNxAJTlD0r02V9sPYpOjqDZXUK.jpg
14160,tt1049413,Up,Up,en,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.",,175000000,735099082,96,2009-05-13,7.8,7048,19.330884,Released,False,http://disney.go.com/disneypictures/up/,/nk11pvocdb5zbFhX5oq5YiLPYMo.jpg
10138,tt1228705,Iron Man 2,Iron Man 2,en,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances – and confront powerful enemies.","It's not the armor that makes the hero, but the man inside.",200000000,623933331,124,2010-04-28,6.6,6969,19.083344,Released,False,http://www.ironmanmovie.com/,/ArqpkNYGfcTIA6umWt6xihfIZZv.jpg
99861,tt2395427,Avengers: Age of Ultron,Avengers: Age of Ultron,en,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",A New Age Has Come.,280000000,1405403694,141,2015-04-22,7.3,6908,37.37942,Released,False,http://marvel.com/movies/movie/193/avengers_age_of_ultron,/t90Y3G8UGQp0f0DrP60wRu9gfrH.jpg
11,tt0076759,Star Wars,Star Wars,en,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,"A long time ago in a galaxy far, far away...",11000000,775398007,121,1977-05-25,8.1,6778,42.149697,Released,False,http://www.starwars.com/films/star-wars-episode-iv-a-new-hope,/btTdmkgIvOi0FFip1sPuZI2oQG6.jpg
106646,tt0993846,The Wolf of Wall Street,The Wolf of Wall Street,en,"A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.",EARN. SPEND. PARTY.,100000000,392000694,180,2013-12-25,7.9,6768,16.382422,Released,False,http://www.thewolfofwallstreet.com/,/vK1o5rZGqxyovfIhZyMELhk03wO.jpg
150540,tt2096673,Inside Out,Inside Out,en,"Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us, Riley is guided by her emotions - Joy, Fear, Anger, Disgust and Sadness. The emotions live in Headquarters, the control center inside Riley's mind, where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco, turmoil ensues in Headquarters. Although Joy, Riley's main and most important emotion, tries to keep things positive, the emotions conflict on how best to navigate a new city, house and school.",Meet the little voices inside your head.,175000000,857611174,94,2015-06-09,7.9,6737,23.985587,Released,False,http://movies.disney.com/inside-out,/aAmfIX3TT40zUHGcCKrlOZRKC7u.jpg
1930,tt0948470,The Amazing Spider-Man,The Amazing Spider-Man,en,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",The untold story begins.,215000000,752215857,136,2012-06-27,6.5,6734,31.102267,Released,False,http://www.theamazingspiderman.com,/eA2D86Y6VPWuUzZyatiLBwpTilQ.jpg
10195,tt0800369,Thor,Thor,en,"Against his father Odin's will, The Mighty Thor - a powerful but arrogant warrior god - recklessly reignites an ancient war. Thor is cast down to Earth and forced to live among humans as punishment. Once here, Thor learns what it takes to be a true hero when the most dangerous villain of his world sends the darkest forces of Asgard to invade Earth.",Two worlds. One hero.,150000000,449326618,115,2011-04-21,6.6,6678,29.158489,Released,False,http://thor.marvel.com/,/bIuOWTtyFPjsFDevqvF3QrD1aun.jpg
101299,tt1951264,The Hunger Games: Catching Fire,The Hunger Games: Catching Fire,en,"Katniss Everdeen has returned home safe after winning the 74th Annual Hunger Games along with fellow tribute Peeta Mellark. Winning means that they must turn around and leave their family and close friends, embarking on a ""Victor's Tour"" of the districts. Along the way Katniss senses that a rebellion is simmering, but the Capitol is still very much in control as President Snow prepares the 75th Annual Hunger Games (The Quarter Quell) - a competition that could change Panem forever.",Every revolution begins with a spark.,130000000,847423452,146,2013-11-15,7.4,6656,25.309139,Released,False,http://www.thehungergames.movie/,/Hn0KgefVEp0GkdTexS6gfKTMfi.jpg
16869,tt0361748,Inglourious Basterds,Inglourious Basterds,en,"In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.",Once upon a time in Nazi occupied France...,70000000,319131050,153,2009-08-18,7.9,6598,16.89564,Released,False,http://www.inglouriousbasterds-movie.com/,/ai0LXkzVM3hMjDhvFdKMUemoBe.jpg
20352,tt1323594,Despicable Me,Despicable Me,en,"Villainous Gru lives up to his reputation as a despicable, deplorable and downright unlikable guy when he hatches a plan to steal the moon from the sky. But he has a tough time staying on task after three orphans land in his care.",Superbad. Superdad.,69000000,543513985,95,2010-07-08,7.1,6595,22.274502,Released,False,http://www.despicable.me/,/4zHJhBSY4kNZXfhTlmy2TzXD51M.jpg
11324,tt1130884,Shutter Island,Shutter Island,en,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by his troubling visions and also by a mysterious doctor.",Someone is missing.,80000000,294804195,138,2010-02-18,7.8,6559,15.813629,Released,False,http://www.shutterisland.com/,/aZqKsvpJDFy2UzUMsdskNFbfkOd.jpg
281957,tt1663202,The Revenant,The Revenant,en,"In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.","(n. One who has returned, as if from the dead.)",135000000,532950503,156,2015-12-25,7.3,6558,23.501228,Released,False,http://www.foxmovies.com/movies/the-revenant,/oXUWEc5i3wYyFnL1Ycu8ppxxPvs.jpg
49521,tt0770828,Man of Steel,Man of Steel,en,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",You will believe that a man can fly.,225000000,662845518,143,2013-06-12,6.5,6462,18.538834,Released,False,http://www.manofsteel.com/,/xWlaTLnD8NJMTT9PGOD9z5re1SL.jpg
10681,tt0910970,WALL·E,WALL·E,en,"WALL·E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. When a ship arrives with a sleek new type of robot, WALL·E thinks he's finally found a friend and stows away on the ship when it leaves.",An adventure beyond the ordinar-E.,180000000,521311860,98,2008-06-22,7.8,6439,16.088366,Released,False,http://disney.go.com/disneypictures/wall-e/,/9cJETuLMc6R0bTWRA5i7ctY9bxk.jpg
18785,tt1119646,The Hangover,The Hangover,en,"When three friends finally come to after a raucous night of bachelor-party revelry, they find a baby in the closet and a tiger in the bathroom. But they can't seem to locate their best friend, Doug – who's supposed to be tying the knot. Launching a frantic search for Doug, the trio perseveres through a nasty hangover to try to make it to the church on time.",Some guys just can't handle Vegas.,35000000,459270619,100,2009-06-05,7.2,6324,23.947351,Released,False,http://hangoverpart2.warnerbros.com/dvd/,/uluhlXubGu1VxU63X9VHCLWDAYP.jpg
263115,tt3315342,Logan,Logan,en,"In the near future, a weary Logan cares for an ailing Professor X in a hideout on the Mexican border. But Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by dark forces.",His time has come,97000000,616801808,137,2017-02-28,7.6,6310,54.581997,Released,False,http://www.foxmovies.com/movies/logan,/gGBu0hKw9BGddG8RkRAMX7B6NDB.jpg
12,tt0266543,Finding Nemo,Finding Nemo,en,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",There are 3.7 trillion fish in the ocean. They're looking for one.,94000000,940335536,100,2003-05-30,7.6,6292,25.497794,Released,False,http://movies.disney.com/finding-nemo,/syPWyeeqzTQIxjIUaIFI7d0TyEY.jpg
177572,tt2245084,Big Hero 6,Big Hero 6,en,"The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",From the creators of Wreck-it Ralph and Frozen,165000000,652105443,102,2014-10-24,7.8,6289,213.849907,Released,False,http://movies.disney.com/big-hero-6,/9gLu47Zw5ertuFTZaxXOvNfy78T.jpg
105,tt0088763,Back to the Future,Back to the Future,en,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",He's the only kid ever to get into trouble before he was born.,19000000,381109762,116,1985-07-03,8.0,6239,25.778509,Released,False,http://www.backtothefuture.com/movies/backtothefuture1,/pTpxQB1N0waaSc3OSn0e9oc8kx9.jpg
127585,tt1877832,X-Men: Days of Future Past,X-Men: Days of Future Past,en,The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.,"To save the future, they must alter the past",250000000,747862775,131,2014-05-15,7.5,6155,26.058586,Released,False,http://www.x-menmovies.com/,/giUK8ppRbfistadVzHtpainkhq4.jpg
585,tt0198781,"Monsters, Inc.","Monsters, Inc.",en,"James Sullivan and Mike Wazowski are monsters, they earn their living scaring children and are the best in the business... even though they're more afraid of the children than they are of them. When a child accidentally enters their world, James and Mike suddenly find that kids are not to be afraid of and they uncover a conspiracy that could threaten all children across the world.",We Scare Because We Care.,115000000,562816256,92,2001-11-01,7.5,6150,26.419962,Released,False,http://movies.disney.com/monsters-inc,/93Y9BGx8blzmZOPSoivkFfaifqU.jpg
12445,tt1201607,Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Deathly Hallows: Part 2,en,"Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.",It all ends here.,125000000,1342000000,130,2011-07-07,7.9,6141,24.990737,Released,False,http://www.harrypotter.com,/fTplI1NCSuEDP4ITLcTps739fcC.jpg
207703,tt2802144,Kingsman: The Secret Service,Kingsman: The Secret Service,en,The story of a super-secret spy organization that recruits an unrefined but promising street kid into the agency's ultra-competitive training program just as a global threat emerges from a twisted tech genius.,Manners maketh man.,81000000,414351546,130,2015-01-29,7.6,6069,28.224212,Released,False,http://www.kingsmanmovie.com/,/8x7ej0LnHdKUqilNNJXYOeyB6L9.jpg
240832,tt2872732,Lucy,Lucy,en,"A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.",The average person uses 10% of their brain capacity. Imagine what she could do with 100%.,40000000,126546825,89,2014-07-14,6.3,6048,36.447603,Released,False,http://lucymovie.com/,/rwn876MeqienhOVSSjtUPnwxn0Z.jpg
