id,Title,hasAwardName,hasAwardYear,hasBoxOfficeRevenue,hasComposer,hasDirector,hasFrenchAdaptationYear,hasFrenchAdaptor,hasFrenchQuebecTitle,hasFrenchReleaseDate,hasFrenchTitle,hasFrenchVoiceCast,hasProducer,hasScenarioWriters,hasThemeSongCompositor,hasThemeSongTitle
558,Spider-Man 2,Festival du film de Tribeca (2007),2007,,,Sam Raimi,2004,,,,,,,,,Danny Elfman,
562,Die Hard,Golden Raspberry Award for Worst Original Song (won),2013,,,,,,,,,,,,,"""I Will Always Love You"" by Pia Zadora"
597,Titanic,Academy Award for Best Picture,1998,,,,,,,,,,,,"James Horner, Will Jennings",My Heart Will Go On
603,The Matrix,"Oscar (Best Visual Effects, Best Editing, Best Sound, Best Sound Editing)",2000,,,,,,,,,,,,"Don Davis, Marilyn Manson","""What Is Love"" by Rage Against the Machine"
607,Men in Black,Golden Raspberry Award,2020,,,,1998,,,,,,,,,Men in Black 3 (Pitbull)
640,Catch Me If You Can,,,,, ,,,,,,,,,,,catch me if you can (Matt Pokora song)
672,Harry Potter and the Chamber of Secrets,,,,,,1999,,,,,,,,,
673,Harry Potter and the Prisoner of Azkaban,,,,, ,1999,,,,,,,,,
674,Harry Potter and the Goblet of Fire,Tournoi des Trois Sorciers,,,,,2000,,,,,,,,,,
675,Harry Potter and the Order of the Phoenix,,,,,,,,,,,,,,,
680,Pulp Fiction,Palme d'or,1994,,,,,"Luc Bernard, Stéphane Kazandjian",,,,"Jean-Hugues Anglade, Richard Darbois, Daniel Gélin",,,"Dennis Lambert, Franke Previte, John Bettis",Unforgettable (Natalie Cole and Nat King Cole)
694,The Shining,,,,,,1980,,,,,,,,,
752,V for Vendetta,Saturn Award for Best Action or Adventure Film,2006,,,,,,,,,,,,Trent Reznor,"""Nine Inch Nails - Burn"""
767,Harry Potter and the Half-Blood Prince,,,,,,2005,,,,,,,,,
808,Shrek,,,,,,2010,,,,,,,,,
857,Saving Private Ryan,Academy Award for Best Picture,1999,,,,,,,,,,,,John Williams,"""Saving Private Ryan"""
862,Toy Story,,,,,,1995,Josh Cooley,,,,,,,,,,
863,Toy Story 2,Academy Award for Best Animated Feature,,,,,1999,,,,,,,,Randy Newman,"""When She Loved Me"""
920,Cars,Academy Award for Best Animated Feature,2007,,,,2006,,,,,,,,,Gary Numan's Cars
1124,The Prestige,Academy Award,2006,,,,,,,,,,,,,"""Prestige"" (Daddy Yankee album)"
1271,300,,,,,,,,,,,,,,
1422,The Departed,Oscar,2007,,,,2006,,Agents troubles,,Les Infiltrés,,,,Howard Shore,
1726,Iron Man,,,,,,,,,,,,,,,
1858,Transformers,Emmy Award,,,,,,,,,,,,,,La Guerre des robots
1891,The Empire Strikes Back,,,,,,,,,,,,,,,
2062,Ratatouille,Academy Award for Best Animated Feature,2007,,,,,,,,,,,,,Confit byaldi (from the movie)
6479,I Am Legend,,,,,Francis Lawrence,2007,,,,Je suis une légende,,,"Mark Protosevich, Akiva Goldsman, John William Corrington, Joyce H. Corrington",James Newton Howard,
8587,The Lion King,Oscar (Best Original Song),1995,,,,,,,,,,,,Elton John,Can You Feel the Love Tonight
8681,Taken,,,,,,2015,Olivier Megaton,,,,,,,,
9806,The Incredibles,Oscar du meilleur film d'animation,2005,,,,,,,,,,,,,
10138,Iron Man 2,,,,,,2010,,,,,,,,John Debney,
10191,How to Train Your Dragon,,,,John Powell,Dean DeBlois,2025,,,,Dragons,,"Marc Platt, Dean DeBlois, Adam Siegel",,,
10193,Toy Story 3,Academy Award for Best Animated Feature,2011,,,,2010,,,,,"Tom Hanks, Tim Allen, Joan Cusack, Don Rickles, Estelle Harris, John Ratzenberger, Wallace Shawn, Jeff Pidgeon, Jodi Benson, R. Lee Ermey, John Morris, Laurie Metcalf, Ned Beatty, Timothy Dalton, Kristen Schaal, Bonnie Hunt, Whoopi Goldberg, Jeff Garlin, Michael Keaton",,,Randy Newman,"""You've Got a Friend in Me"""
10195,Thor,,,,,,,,,,,,,,,
10528,Sherlock Holmes,Le Dernier Problème (1893),,,,,,,,,,,,,,Son dernier coup d'archet
11324,Shutter Island,Prix Mor Vran (2009),2009,,,Martin Scorsese,2003,Isabelle Maillet,,,,,,,,
12155,Alice in Wonderland,Golden Globe Award for Best Motion Picture,,,,,2016,,,,,,,,,"""Alice au pays des merveilles"""
13475,Star Trek,Emmy Award,,,,,,Gene Roddenberry,,,,,,,,,"""Where No Man Has Gone Before"""
14160,Up,Academy Award for Best Animated Feature Film,,,,,,,,,,,,,Michael Giacchino,Married Life
14161,2012,,,,,,,,,,,,,,,
16869,Inglourious Basterds,Multiple awards for Best Supporting Actor,2009,,,,2009,,,,,,,,,,
18785,The Hangover,Golden Globe Award,2010,,,,,,,,,,,,"Jake Clemons, Ryan Tedder",I'm Still Standing
19995,Avatar,Primetime Emmy Award,"2006, 2007, 2008",,,,,Christian Clavier,,,,"Sébastien Desjours, Célia Charpentier, Michel Vigné",,,Jeremy Zuckerman,The Last Airbender: The Soundtrack
23483,Kick-Ass,,,,,,,,,,,,,,,
24428,The Avengers,The Game Awards 2020 - Best Action/Adventure Game,2020,,,,,,,,,,,,,,Avengers: Endgame (End Titles)
27205,Inception,Oscar,2011,,,,,,,,,,,,Hans Zimmer,
36557,Casino Royale,,,,,,1953,,,,,,,,,,David Arnold
36657,X-Men,Academy Award for Best Visual Effects (2001),2001,,,,"2001, 2003","Laurent Chalet, Jean-Pierre Jeunet",,,,"Daniel Dae Kim, Fanny Ardant, Gérard Depardieu, Jean Reno, Jean-Hugues Anglade, Olivier Martinez, Vincent Cassel",,,,Main Title Theme by John Ottman
37165,The Truman Show,Golden Globe Award,1999,,,,,,,,,,,,,"""The Truman Show"" by Burton Lee"
37724,Skyfall,Oscar for Best Original Song,2013,Over $1 billion,,,,Thomas Azier,,,,,,,Adele & Paul Epworth,Skyfall
41154,Men in Black 3,,,,,,2012,,,,,,,,Danny Elfman,
44214,Black Swan,Academy Award,2011,,,,,Yann Le Gallo,,,,,,,"Clint Mansell, Bryce Dessner",Tossing and Turning (performed by Clint Mansell)
49026,The Dark Knight Rises,Academy Award for Best Cinematography,2013,,,,,,,,,,,,"Hans Zimmer, A.R. Rahman","""Why Does It Rain"" by Adele"
49047,Gravity,,,,,,,,,,,,,,,Bullet for My Valentine (2018 album)
49521,Man of Steel,,,,,,,,,,,"Henry Cavill, Amy Adams, Michael Shannon, Diane Lane, Kevin Costner, Laurence Fishburne, Russell Crowe",,,,
51876,Limitless,,,,,,,,,,,,,,,
54138,Star Trek Into Darkness,,,,,,2013,,,,,,,,,,
59967,Looper,Saturn Award for Best Music,2013,,,,,,,,,,,,Nathan Johnson,"""Traveler's Song"""
61791,Rise of the Planet of the Apes,Visual Effects Society Award,2012,,,,,,,,,,,,Patrick Doyle,
62177,Brave,Annie Award,2013,,,,2012,,,,,,,,Patrick Doyle,Brave (Idina Menzel)
64682,The Great Gatsby,,,,,,,,,,,,,,,
64688,21 Jump Street,Imagen Award 1988,1988,,,,,,,,,,,,"Holly Robinson Peete, Peter Bernstein, Michael Z. Gordon",
68718,Django Unchained,Golden Globe Award,2013,,,,,,,,,,,,"Mac Davis (for ""Annie"")","""Annie"" (theme song from the 1973 blaxploitation film ""Cleopatra Jones"")"
68721,Iron Man 3,PG-13,,,,,2013,,,,,,,,,,
68726,Pacific Rim,,,,,,2018,,,,,,,,,"""Roarhead"" by Ramin Djawadi"
70160,The Hunger Games,,,,,,"2012, 2013, 2014, 2015, 2023, 2025",,,,,,,,,
70981,Prometheus,,,,,,,,,,,,,,,
72105,Ted,,,,,,,,,,,,,,,
72190,World War Z,Audie Award (audio book),2007,,,,2013,Marc Forster,,,,,,,,
75612,Oblivion,Best RPG (2006),2006,,,,,,,,,,,,,
75656,Now You See Me,People's Choice Award for Best Thriller,2013,,,,,,,,,,,,Brian Tyler,
76170,The Wolverine,,,,,,2013,,,,,,,,,,
82690,Wreck-It Ralph,Annie Award for Best Animated Feature,2013,,,,,,,,,,,,"Henry Jackman, Michael Giacchino",Chez Tapper
82693,Silver Linings Playbook,Oscar,2013,,,,,,,,,,,,Diane Warren,Silver Lining
93456,Despicable Me 2,,,,,,,,,,,,,,,
102382,The Amazing Spider-Man 2,,,,,,2014,Le Destin d'un héros (The Amazing Spider-Man 2),,,,,,,"Hans Zimmer, The Magnificent Six",
102651,Maleficent,Golden Trailer Awards (2014),2014,,,,,"Alexandre de la Patellière, Christophe Gans",,,,"Élodie Bouchez, François Damiens, Marion Cotillard",,,"Lorne Balfe, Michael Danna","""Elle me Dit"""
102899,Ant-Man,Critics' Choice Movie Award (2016),2016,,,,,Grégory Frot,,,,,"Paul Rudd, Michael Douglas, Evangeline Lilly",,,,"""Ant-Man"" by Christophe Beck"
109445,Frozen,Academy Award for Best Animated Feature Film,2014,,,,,,,,,,,,"Kristen Anderson-Lopez, Robert Lopez",Let It Go
118340,Guardians of the Galaxy,People's Choice Award,2015,,,,,,,,,,,,"Tyler Bates, Steve Jablonsky",Awesome Mix Vol. 1
119450,Dawn of the Planet of the Apes,,,,,,2014,,,,La Planète des singes : L'Affrontement,,,,Michael Giacchino,
120467,The Grand Budapest Hotel,,,,,,,,,,,,,,Alexandre Desplat,The Grand Budapest Hotel
127380,Finding Dory,,,,,,2016,,Trouver Doris,,Le Monde de Dory,,,,Thomas Newman,"Blackbird, Cheek To Cheek From Top Hat, The Tra La La Song, Theme From S.W.A.T., (Every Time I Turn Around) Back In Love Again, The Planets Op 32 - Mars, C.C. Rider, Everybody Loves Babies, Viva Las Vegas, Alla En El Rancho Grande, Ladies Night, What The World Needs Now Is Love"
135397,Jurassic World,,,,,,2015,,,,,,,,,,
137113,Edge of Tomorrow,,,,,,2014,Doug Liman,,,,,,,,
150540,Inside Out,,,,,,,,,,,,,,,
152601,Her,Academy Award for Best Original Screenplay,2014,,,,,,,,,,,,,
157336,Interstellar,Academy Award for Best Visual Effects,2015,,,,2014,"Christopher Nolan, Jonathan Nolan",,,,"Matthew McConaughey, Anne Hathaway, Michael Caine, Jessica Chastain, Casey Affleck, Matt Damon",,,Hans Zimmer,
157350,Divergent,,,,,,2014,Robert Schwentke,,,,,,,,
168259,Furious 7,,,,,,2015,James Wan,,,,,,,Brian Tyler,
177572,Big Hero 6,Academy Award for Best Animated Feature,2015,,,,2015,Scott Adsit,,,,Amanda Crew,,,Michael Giacchino,Les Nouveaux Héros
198663,The Maze Runner,,,,,,2014,,,,,,,,John Paesano,
205596,The Imitation Game,,,,,,2014,Morten Tyldum,,,,,,,,,,
206647,Spectre,Academy Award for Best Visual Effects,2016,,,,2015,,,,Spectre (film),"Bernard Le Coq, Christoph Waltz, Léa Seydoux, Daniel Craig, Monica Bellucci, Ben Whishaw, Naomie Harris, Ralph Fiennes, Jesper Christensen, Dave Bautista, Andrew Scott, Alessandro Cremona, Rory Kinnear",,,Thomas Newman,Le Spectre de la rose (ballet)
210577,Gone Girl,British Academy Film Award,,,,,2014,,,,Les Apparences au Québec,,,,,
211672,Minions,,,,,,,,,,,,Pierre Coffin, Marion Cotillard, Guillaume Canet, Philippe Laudenbach, Christian Gonon, Catherine Davenier, Jean-Christophe Dollé, Thierry Bosc, Silvie Laguna, Pauline Brunner, Philippe Spiteri, Pierre Diot, Hervé Icovic, Laurent Natrella, Gad Elmaleh,,,,
222935,The Fault in Our Stars,"Prix des Incorruptibles, Prix jeunesse des libraires du Québec, IBBY Honour List",2014,,,,2013,,,,Nos étoiles contraires,,,,,
228150,Fury,Academy Award for Best Sound Editing,2015,,,,,,,,,,,,John Williams,"""Red, Red Kroovy"""
244786,Whiplash,,,,,,,,,,,,,,,
259316,Fantastic Beasts and Where to Find Them,,,,,,2016,,,,,,,,James Newton Howard,
263115,Logan,Academy Award for Best Adapted Screenplay,2018,,,,,,,,,,,,,Logan (song from the movie)
264660,Ex Machina,Saturn Award,2016,,,,,,,,,,,,,"""Closer to the Edge"" (by Sia)"
269149,Zootopia,Oscar for Best Animated Feature Film,2017,,,,2016,,,,,,,,,,Not So Fast
274870,Passengers,,,,,,2011,,,,,,,,,,
281957,The Revenant,Golden Globe,2016,,,,2015,,,,Le Revenant au Québec,,,,"Ryūichi Sakamoto, Alva Noto and Bryce Dessner",
286217,The Martian,,,,,,2015,Andy Weir,,,,,,,,Underground Resistance (album series)
293660,Deadpool,MTV Movie & TV Awards,2017,,,,,,,,,,,,Tom Holkenborg,Deadpool Theme (2016)
297761,Suicide Squad,People's Choice Awards,2017,,,,,Alexandre Astier,,,,Jean-Baptiste Marcenac, Marie-Eugénie Maréchal,,,Skrillex, Rick Ross,"""Purple Lamborghini"""
297762,Wonder Woman,Saturn Award,2017,,,,,,,,,,,,Cyndi Lauper,"""The Psychadelic Pussycat Dolls Theme"""
321612,Beauty and the Beast,Best Costume Design,2018,,,,La Belle et la Bête,,,,,,,,"Celine Dion, Peabo Bryson",Beauty and the Beast (Reprise)
337339,The Fate of the Furious,Best Opening Weekend Gross,2017,,,,2017,,,,,"Vin Diesel, Dwayne Johnson, Jason Statham, Michelle Rodríguez, Tyrese Gibson, Ludacris, Scott Eastwood, Nathalie Emmanuel, Elsa Pataky, Kurt Russell, Charlize Theron, Tego Calderón, Don Omar",,,Brian Tyler,"""Go Oh Go"""
381288,Split,,1919,,,,,,,,,,,,,,Ultra Europe
,Fast  Furious 6,,,,,,2013,,,,,,,,Lucas Vidal,
,Harry Potter and the Deathly Hallows Part 1,,,,,,2010,David Yates,,,,"Daniel Radcliffe, Rupert Grint, Emma Watson, Alexandre Desplat",,,Alexandre Desplat,
,Harry Potter and the Deathly Hallows Part 2,Oscar,2012,,,,,,Steve Kloves,,,,"Daniel Radcliffe, Rupert Grint, Emma Watson",,,Alexandre Desplat,"""Little Bit Longer"""
,Harry Potter and the Philosophers Stone,Bloomsbury Children's Books Publication Award (1997),1997,,,,1998,Jean-François Ménard,,,,,,,,
,I Robot,,,,,,,,,,,,,,,
,Kingsman The Secret Service,,,,,,2014,,,,,,,,,
,Mad Max Fury Road,Oscar,2016,,,,,,,,,,,,,
,Monsters Inc.,,,,,,2002,,,,,"Jacques Frantz, Éric Métayer, Lola Krellenstein, Dominique Collignon-Maurin, Richard Darbois, Claire Keim, Isabelle Leprince, Henri Guybet, Jean-Loup Horwitz, Luq Hamet, Emmanuel Curtil, Pascal Casanova, Évelyne Grandjean, Pascal Nowak, Boris Rehlinger, Jérémy Prévost, Jean-Claude Donda, Jérôme Pauwels",,,,
,Oceans Eleven,,,,,,,,,,,,,,,
,Pirates of the Caribbean At Worlds End,Saturn Award,2008,,,,2007,,,,,,,,Hans Zimmer,"""Now My Watch Begins"""
,Pirates of the Caribbean Dead Mans Chest,Oscar des meilleurs effets visuels,2007,,,,2006,,,,,,,,Hans Zimmer,
,Pirates of the Caribbean On Stranger Tides,,,,,,2011,,,,Pirates des Caraïbes : La Fontaine de Jouvence,,,,"Hans Zimmer, Rodrigo y Gabriela",
,Pirates of the Caribbean The Curse of the Black Pearl,,,,,,2003,,,,,,,,,,
,Schindlers List,National Film Registry,2004,,,,1993,,,,,"Liam Neeson, Ben Kingsley, Ralph Fiennes",,,John Williams,Schindler's Theme
,Terminator 2 Judgment Day,Oscar,1992,,,,1991,,,,,"Arnold Schwarzenegger, Linda Hamilton, Robert Patrick, Edward Furlong",,,,"""You Could Be Mine"" by Guns N' Roses"
,The Hunger Games Mockingjay  Part 1,,,,,,2014,,,,,,,,,,Meltdown, Yellow Flicker Beat
,The Lord of the Rings The Fellowship of the Ring,BAFTA Award,2002,,,,,,,,,,,,Howard Shore,Two Towers
,The Lord of the Rings The Return of the King,Oscars,2004,,,,2003,,,,,,,,,
,The Lord of the Rings The Two Towers,Academy Awards,2003,,,,,,,,,,,,"Enya, Nicky Ryan",May It Be
,Thor The Dark World,,,,,,2013,,,,,,,,Brian Tyler,
,WALL-E,Hugo Award,2009,,,,2008,,,,,,,,,,
,X-Men Apocalypse,,,,, ,2016,,,,,,,,,
,X-Men Days of Future Past,,,,,,2014,,,,,,,,John Ottman,Days of Future Past
,X-Men First Class,,,,,,2011,Matthew Vaughn,,,,,,,Henry Jackman,
,X-Men Origins Wolverine,,,,,,,,,,,,,,,
,Avengers Age of Ultron,,,,, ,2015,,,,,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson, Jeremy Renner, Samuel L. Jackson",,,,
,Batman v Superman Dawn of Justice,,,,,,Zack Snyder,,,,,"Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg, Gal Gadot, Diane Lane, Laurence Fishburne, Holly Hunter",,,,
,Captain America Civil War,Accords de Sokovie,,,,,,Anthony et Joe Russo,,29 avril 2016,,"Chris Evans, Robert Downey Jr., Sebastian Stan, Scarlett Johansson, Don Cheadle, Chadwick Boseman, Paul Rudd, Elizabeth Olsen, Anthony Mackie, Daniel Brühl, Emily VanCamp, Frank Grillo, Martin Freeman, William Hurt, Alfre Woodard, John Slattery, Hope Davis, Marion Cotillard, Warwick Davis, Toby Jones, Henry Goodman, Helen McCrory, Ken Stott, Sheila Atim, Adrian Scarborough, Peter Sullivan, Ross O'Hennessy, Paul Bettany",,,,Le Partisan
,Captain America The First Avenger,,,,,,2011,,,,,,,,,
,Captain America The Winter Soldier,,,,,,2014,,,,Captain America : Le Soldat de l'hiver,,,,,
