Title,Wiki Page,Composition_Chunk,Awards_Chunk,Production_Chunk
Back to the Future,https://en.wikipedia.org/wiki/Back_to_the_Future,, ,"   A sequel was not initially planned, and the teaser ending of Doc, Marty, and Jennifer flying off in the DeLorean suggested their adventures would continue off-screen. Universal Pictures was eager to pursue a sequel based on the significant financial and critical success of Back to the Future. However, Zemeckis and Gale were reluctant to participate, believing sequels often retread the best elements of the original film. They were also concerned that a poor follow-up could alienate Back to the Future's passionate fan base, and undermine the pair after their first major joint success. Zemeckis and Gale acquiesced by 1987, once Universal Pictures clarified they would, if necessary, make a sequel without them. The pair's sequel script was so long it was split into two films, Back to the Future Part II (1989) and Back to the Future Part III (1990); the films were shot back to back.
Part II depicts Marty and Doc traveling to 2015, inadvertently enabling the now-elderly Biff Tannen to steal the DeLorean and return to 1955, rewriting history in his favor. Wells and Glover did not return for the sequels. Part II was a financial success but was criticized for its complex, convoluted narrative. Zemeckis has said it is his least favorite film in the series. The final film, Part III follows Marty as he travels to 1885 to rescue a time-stranded Doc. While the film fared less well financially than the two earlier films, it was more critically well-received than Part II. A 2018 poll by The Hollywood Reporter of 2,200 people found 71% wanted a Back to the Future sequel, ahead of another Toy Story or Indiana Jones film. Gale has said there will never be a fourth film, likening it to ""selling your kids into prostitution"". He added a Back to the Future film could never happen without Fox, who could not participate because of the effects of his Parkinson's disease.
An animated television series, Back to the Future, aired on CBS between 1991 and 1992. It follows Doc's and Marty's adventures through various historical periods, intercut with live-action segments featuring Doc (Lloyd), performing science experiments alongside Bill Nye. A short film, Doc Brown Saves the World (2015), celebrated the film's 30th anniversary. Lloyd reprised his role as Doc, who must travel to the future to prevent a nuclear holocaust in 2045. A musical theater production, Back to the Future, debuted in February 2020 at the Manchester Opera House, England, to positive reviews. The musical was written by Gale and Zemeckis, with music written by Silvestri and Glen Ballard. Gale described it as the best way to give fans more Back to the Future without adding to the film series. In 2024, Zemeckis said he was interested in adapting the musical into a movie. Overall, the Back to the Future franchise is considered one of the most successful film franchises in history. "
Die Hard,https://en.wikipedia.org/wiki/Die_Hard,, ,   
Back to the Future Part II,https://en.wikipedia.org/wiki/Back_to_the_Future_Part_II,"The soundtrack was released by MCA Records on November 22, 1989. AllMusic rated it four-and-a-half stars out of five. Unlike the previous soundtrack, it contains only a musical score composed and conducted by Alan Silvestri and performed by the Hollywood Studio Symphony. None of the vocal songs featured throughout the film are included. On October 12, 2015, Intrada Records released the complete score of Back to the Future Part II in a 2-disc set including early scoring sessions and alternative takes. ", ,  
The Silence of the Lambs,https://en.wikipedia.org/wiki/The_Silence_of_the_Lambs_(film),,,
Terminator 2: Judgment Day,https://en.wikipedia.org/wiki/Terminator_2:_Judgment_Day,, ,   
Reservoir Dogs,https://en.wikipedia.org/wiki/Reservoir_Dogs,"The Reservoir Dogs: Original Motion Picture Soundtrack was the first soundtrack for a Tarantino film and set the structure his later soundtracks would follow. This includes the extensive use of snippets of dialogue from the film. The soundtrack has selections of songs from the 1960s to '80s. Only the group Bedlam recorded original songs for the film. Reasoning that the film takes place over a weekend, Tarantino decided to set it to a fictional radio station 'K-Billy' (presumably KBLY)'s show ""K-Billy's Super Sounds of the Seventies Weekend"", a themed weekend show of songs from the seventies. The radio station played a prominent role in the film. The DJ for the radio was chosen to be Steven Wright, a comedian known for his deadpan delivery of jokes.
An unusual feature of the soundtrack was the choice of songs; Tarantino has said that he feels the music to be a counterpoint to the on-screen violence and action. He also stated that he wished for the film to have a 1950s feel while using '70s music. A prominent instance of this is the torture scene to the tune of ""Stuck in the Middle with You"". "," The film was screened out of competition at the 1992 Cannes Film Festival.
It won the Critic's Award at the 4th Yubari International Fantastic Film Festival in February 1993, which Tarantino attended. The film was also nominated for the Grand Prix of the Belgian Syndicate of Cinema Critics. Steve Buscemi won the 1992 Independent Spirit Award for Best Supporting Male. Reservoir Dogs ranks at No. 97 in Empire magazine's list of the 500 Greatest Films of All Time. In 2024, Reservoir Dogs was ranked second on the list of the Sundance Film Festival's Top 10 films of All Time based on a survey conducted with 500 filmmakers and critics in honor of the festival's 40th anniversary.

AFI's 100 Years... 100 Heroes & Villains:
Mr. Blonde – Nominated Villain ","Quentin Tarantino had been working at Video Archives, a video store in Manhattan Beach, California, and originally planned to shoot the film with his friends on a budget of $30,000 in a 16 mm black-and-white format, with himself playing Mr. Pink and producer Lawrence Bender playing both Nice Guy Eddie and a police officer chasing Mr. Pink. Bender gave the script to his acting teacher, whose wife gave the script to Harvey Keitel. Keitel liked it enough to sign as a co-producer so Tarantino and Bender would have an easier job finding funding; with his assistance, they raised $1.5 million. Keitel also paid for Tarantino and Bender to host casting sessions in New York, where the duo found Steve Buscemi, Michael Madsen, and Tim Roth. Tim Roth's agents originally wanted him to be Mr. Pink or Mr. Blonde, but he preferred Mr. Orange because he would ""be an English actor pretending to be American playing a cop pretending to be a robber"". Michael Madsen wanted to play Mr Pink and auditioned for that part but Tarantino insisted that he play Mr Blonde. Jon Cryer was asked to audition for the role of Mr. Pink, but he backed out at the last minute. James Woods was also considered for Mr. Pink, but his agent turned it down without telling him. Viggo Mortensen, George Clooney, Samuel L. Jackson and  David Duchovny also read for roles.
The film contains multiple homages to other films.  In a 1992 interview, Tarantino says he likes the title of Reservoir Dogs because ""it sounds like in a film by Alain Delon by Jean-Pierre Melville... I could see Alain Delon in a black suit say: ""I'm Mr. Blonde"". Moreover, Le Samouraï  is one of Quentin Tarantino's favorite films and influenced him in the creation of the world of Reservoir Dogs and Pulp Fiction.  The idea of the costumes of the films comes from a discussion between Tarantino and the costume designer Betsy Heimann, about French noir films with Alain Delon. Tarantino has said that Reservoir Dogs was influenced by Stanley Kubrick's 1956 film noir The Killing: ""I didn't go out of my way to do a rip-off of The Killing, but I did think of it as my 'Killing', my take on that kind of heist movie."" The film's plot was also inspired by the 1952 film Kansas City Confidential. Additionally, Joseph H. Lewis's 1955 film The Big Combo and Sergio Corbucci's 1966 Spaghetti Western Django inspired the scene where a police officer is tortured in a chair. Having the main characters named after colors (Mr. Pink, White, Brown, etc.) was first seen in the 1974 film The Taking of Pelham One Two Three. The film also contains key elements similar to those found in Ringo Lam's 1987 film City on Fire. Tarantino praised the film City on Fire and mentioned it as a major influence.
The film's production experienced several significant difficulties. Tarantino said that everybody ""hated"" Lawrence Tierney by the end of the first week of production because of his on-set behavior and volatility; he seemed (to some of the cast and crew) to be evincing psychological problems. Ultimately Tierney was fired, with Tarantino stating ""Tierney was a f—ing nightmare. He was completely insane. He was so crazy... All the other actors and the crew can’t stand him. And all of a sudden, he yells at me, does something disrespectful and so, I fired him at the breakfast table. The crew breaks into applause.""
The warehouse scenes were filmed in an unused mortuary filled with caskets, funeral equipment, embalming fluid, and a hearse. Mr. Orange's apartment was a room on the second floor of the mortuary, set to look like living quarters. The building has since been demolished.
Tarantino's decision not to film the diamond robbery was twofold: for budgetary reasons, and to keep the details of the heist ambiguous. By not showing the robbery and having the characters describe it, Tarantino explained, the film is allowed to be ""about other things"", similar to the way in which the burglary in Glengarry Glen Ross and its film adaptation is discussed, described, and debated, but never shown. Tarantino compared the technique to the work of a novelist, and said he wanted the film to be about something not seen and to ""play with a real-time clock as opposed to a movie clock ticking"". "
Jurassic Park,https://en.wikipedia.org/wiki/Jurassic_Park_(film),"John Williams, a frequent composer of Spielberg's films, began scoring Jurassic Park at the end of February 1993. Alexander Courage and John Neufeld provided the score's orchestrations. Williams wrote themes designed to evoke a sense of wonder, attempting to imbue audiences with the feeling of ""admiration and respect"" that small children have when viewing dinosaur exhibits at a natural history museum. Three central themes were written, each with multiple variations. The first, associated with the herbivorous dinosaurs, was described by Williams as having ""almost a religious aspect"". The second, a more adventurous theme, is more unpredictable and adaptable, reflecting the park's capacity for wonder and terror. The third theme is built around a four-note motif, and is associated with the Velociraptors and the T. rex. However, two major sequences involving the T. rex do not use this theme. One is the escape sequence, which uses no music at all to increase tension, and the other is the T. rex's entrance in the climax, which was originally supposed to use the theme before Spielberg decided to use the adventure theme to reflect the T. rex being a heroic figure in the climax rather than a source of terror. Williams's recording session was on March 30, 1993, well into post-production, which meant that Spielberg was unable to sit in on the recording for the first time in all of their collaborations, as he was occupied filming Schindler's List in Poland. Instead, Williams previewed his scores on a piano for Spielberg to listen to before he left, and Spielberg was sent the full music in audio cassette form as it was finished. The first soundtrack album was released on May 25, 1993. For the 20th anniversary of the film's release, a new soundtrack was issued for digital download on April 9, 2013, including four bonus tracks selected by Williams. ", ,  
Schindler's List,https://en.wikipedia.org/wiki/Schindler%27s_List,, ," Schindler's List opened in theaters on December 15, 1993, in the United States and December 25 in Canada. Its premiere in Germany was on March 1, 1994. Its American network television premiere was on NBC on February 23, 1997. Shown uncut and without commercials, it ranked No. 3 for the week with a 20.9/31 rating/share, the highest Nielsen rating for any film since NBC's broadcast of Jurassic Park in May 1995. The film aired on public television in Israel on Holocaust Memorial Day in 1998.
The film was released in a THX widescreen VHS format on September 9, 1997. The DVD was released on March 9, 2004, in widescreen and full screen editions, on a double-sided disc with the feature film beginning on side A and continuing on side B. Special features include a documentary introduced by Spielberg. Also released for both formats was a limited edition gift set, which included the widescreen version of the film, Keneally's novel, the film's soundtrack on CD, a senitype, and a photo booklet titled Schindler's List: Images of the Steven Spielberg Film, all housed in a plexiglass case. The laserdisc gift set was a limited edition that included the soundtrack, the original novel, and an exclusive photo booklet. As part of its 20th anniversary, the film was released on Blu-ray Disc on March 5, 2013. The film was digitally remastered in 4K, Dolby Vision and Atmos and was reissued into theaters on December 7, 2018, for its 25th anniversary. The film was released on Ultra HD Blu-ray on December 18, 2018.
Following the success of the film, Spielberg founded the Survivors of the Shoah Visual History Foundation, a nonprofit organization with the goal of providing an archive for the filmed testimony of as many survivors of the Holocaust as possible, to save their stories. He continues to finance that work. Spielberg used proceeds from the film to finance several related documentaries, including Anne Frank Remembered (1995), The Lost Children of Berlin (1996), and The Last Days (1998). "
Forrest Gump,https://en.wikipedia.org/wiki/Forrest_Gump,"The soundtrack, featuring 32 songs from the film, was released on July 6, 1994. With the exception of a lengthy suite of themes from Alan Silvestri's original score, all the songs are previously released. Among the artists featured in the film are Elvis Presley, Bob Dylan, Hank Williams, Creedence Clearwater Revival, Aretha Franklin, Lynyrd Skynyrd, Three Dog Night, The Byrds, The Beach Boys, The Jimi Hendrix Experience, The Doors, Canned Heat, Harry Nilsson, The Mamas & the Papas, The Doobie Brothers, Simon & Garfunkel, Bob Seger, Randy Newman, Willie Nelson, Fleetwood Mac, KC & The Sunshine Band, and Buffalo Springfield. Reflecting on compiling the soundtrack, music producer Joel Sill stated ""We wanted to have very recognizable material that would pinpoint time periods, yet we didn't want to interfere with what was happening cinematically."" The film and the two-disc album have a variety of music from the 1950s to the 1980s performed by American artists. According to Sill, Zemeckis requested this because he thought that American music was the only kind of music Forrest would buy, further stating ""All the material in there is American. Bob (Zemeckis) felt strongly about it. He felt that Forrest wouldn't buy anything but American.""
The soundtrack reached a peak of number 2 on the Billboard album chart. The soundtrack went on to sell twelve million copies, and is one of the top selling albums in the US. The Oscar-nominated score for the film was composed and conducted by Alan Silvestri and released on August 2, 1994. ", ,  
The Lion King,https://en.wikipedia.org/wiki/The_Lion_King,"Lyricist Tim Rice, who was working with composer Alan Menken on songs for Aladdin (1992), was invited to write songs for The Lion King, and accepted on the condition of bringing in a composing partner. As Menken was unavailable, the producers accepted Rice's suggestion of Elton John, after Rice's invitation of ABBA fell through due to Benny Andersson's commitments to the stage musical Kristina från Duvemåla. John expressed an interest in writing ""ultra-pop songs that kids would like; then adults can go and see those movies and get just as much pleasure out of them"", mentioning a possible influence of The Jungle Book (1967), where he felt the ""music was so funny and appealed to kids and adults"".
Rice and John wrote five original songs for The Lion King (""Circle of Life"", ""I Just Can't Wait to Be King"", ""Be Prepared"", ""Hakuna Matata"", and ""Can You Feel the Love Tonight""), with John's performance of ""Can You Feel the Love Tonight"" playing over the end credits. The IMAX and DVD releases added another song, ""The Morning Report"", based on a song discarded during development that eventually featured in the live musical version of The Lion King. The score was composed by Hans Zimmer, who was hired based on his earlier work on two films in African settings, A World Apart (1988) and The Power of One (1992), and supplemented the score with traditional native African music and choir elements arranged by Lebo M. Zimmer said while uninterested at first due to a dislike of Broadway musicals, accepted the job to have a work he could watch with his daughter, and given he also lost his father as a child, used that as inspiration for the music regarding Mufasa's death. Zimmer's partners Mark Mancina and Jay Rifkin helped with arrangements and song production.
Jason Weaver recorded his song vocals as young Simba for ""I Just Can't Wait to be King,"" ""Hakuna Matata,"" and an unused song, 'Warthog Rhapsody,"" the day he came in for what was supposed to be an audition. His mother turned down Disney's initial financial offer and negotiated a fee of $100,000 plus royalties.
The Lion King original motion picture soundtrack was released by Walt Disney Records on April 27, 1994. It was the fourth-best-selling album of the year on the Billboard 200 and the top-selling soundtrack. It is the only soundtrack to an animated film to be certified Diamond (10× platinum) by the Recording Industry Association of America. Zimmer's complete instrumental score for the film was never originally given a full release, until the soundtrack's commemorative twentieth anniversary re-release in 2014. The Lion King also inspired the 1995 release Rhythm of the Pride Lands, with eight songs by Zimmer, Mancina, and Lebo M.
The use of the song ""The Lion Sleeps Tonight"" in a scene with Timon and Pumbaa led to disputes between Disney and the family of South African Solomon Linda, who composed the song (originally titled ""Mbube"") in 1939. In July 2004, Linda's family filed a lawsuit, seeking $1.6 million in royalties from Disney. In February 2006, Linda's heirs reached a settlement with Abilene Music, who held the worldwide rights and had licensed the song to Disney for an undisclosed amount of money. ", ,  
Pulp Fiction,https://en.wikipedia.org/wiki/Pulp_Fiction,"No film score was composed for Pulp Fiction; Quentin Tarantino instead used an eclectic assortment of surf music, rock and roll, soul, and pop songs. Dick Dale's rendition of ""Misirlou"" plays during the opening credits. Tarantino chose surf music as the basic musical style for the film, but not, he insists, because of its association with surfing culture: ""To me it just sounds like rock and roll, even Morricone music. It sounds like rock and roll spaghetti Western music."" Tarantino planned to use a power pop song, ""My Sharona"" by The Knack, during the film's rape scene, but ultimately discounted it.
Some of the songs were suggested to Tarantino by his friends Chuck Kelley and Laura Lovelace, who were credited as music consultants. Lovelace also appeared in the film as Laura, a waitress; she reprises the role in Jackie Brown. The soundtrack album was released along with the film in 1994. The album peaked on the Billboard 200 chart at number 21. The single, Urge Overkill's cover of the Neil Diamond song ""Girl, You'll Be a Woman Soon"", reached number 59.
Estella Tincknell describes how the particular combination of well-known and obscure recordings helps establish the film as a ""self-consciously 'cool' text. [The] use of the mono-tracked, beat-heavy style of early 1960s U.S. 'underground' pop mixed with 'classic' ballads such as Dusty Springfield's 'Son of a Preacher Man' is crucial to the film's postmodern knowingness."" She contrasts the soundtrack with that of Forrest Gump, the highest-grossing film of 1994, which also relies on period pop recordings: ""[T]he version of 'the sixties' offered by Pulp Fiction ... is certainly not that of the publicly recognized counter-culture featured in Forrest Gump, but is, rather, a more genuinely marginal form of sub-culture based around a lifestyle – surfing, 'hanging' – that is resolutely apolitical."" The soundtrack is central, she says, to the film's engagement with the ""younger, cinematically knowledgeable spectator"" it solicits. "," Pulp Fiction won eight major awards from a total of twenty-six nominations, including a Best Original Screenplay win at the 67th Academy Awards. Also, in the balloting by the National Society of Film Critics, Samuel L. Jackson was the runner-up in both the Best Actor and the Best Supporting Actor categories. In 2006, Writers Guild of America ranked its screenplay 16th in WGA’s list of 101 Greatest Screenplays.
American Film Institute Lists

AFI's 100 Years ... 100 Movies – № 95
AFI's 100 Years ... 100 Laughs – Nominated
AFI's 100 Years ... 100 Thrills – № 53
AFI's 100 Years ... 100 Heroes & Villains:
Vincent Vega and Jules Winnfield – Nominated Villains
AFI's 100 Years ... 100 Movie Quotes:
""Bring out the Gimp"" – Nominated Quote
""They call it a Royale with Cheese"" – Nominated Quote
AFI's 100 Years ... 100 Movies (10th Anniversary Edition) – № 94
AFI's 10 Top 10 – № 7 gangster film ",  
The Shawshank Redemption,https://en.wikipedia.org/wiki/The_Shawshank_Redemption,, ,  
Toy Story,https://en.wikipedia.org/wiki/Toy_Story,, ," Both Disney and Pixar held separate premieres for Toy Story, with Disney holding theirs at their flagship El Capitan Theatre in Los Angeles on November 19, 1995, and Pixar holding theirs the following night at the Regency Center in San Francisco. According to David Price's 2008 book The Pixar Touch, the film deeply resonated with audiences, with even the adults being noticeably moved by the film.
In some international territories, the theatrical release of the film was preceded by a re-release of the Roger Rabbit short Roller Coaster Rabbit.
In addition to showing at the El Capitan, where tickets included admission to the Totally Toy Story funhouse that Disney had built in the Hollywood Masonic Temple next door, the film opened on 2,281 screens on the 22nd and later expanded to 2,574.
The film was also shown at the Berlin International Film Festival out of competition from February 15 to 26, 1996. Elsewhere, the film opened in March 1996. "
Titanic,https://en.wikipedia.org/wiki/Titanic_(1996_TV_miniseries),,,
